n;R;I
2;0.018987341772151896;3.16
3;0.01794871794871795;3.9
4;0.01967799642218247;5.59
5;0.020348837209302327;6.88
6;0.02304147465437788;10.85
7;0.025513819985825657;14.11
8;0.030232558139534887;17.2
9;0.03739262253663467;19.79
10;0.05318181818181818;22.0
11;0.06652360515021459;23.3
12;0.07983870967741935;24.8
13;0.08807692307692308;26.0
14;0.09746376811594203;27.6
15;0.10353102502571135;29.17
16;0.11155115511551154;30.3
17;0.11729559748427673;31.8
18;0.12507552870090632;33.1
19;0.12994186046511627;34.4
20;0.13416666666666666;36.0
21;0.13903743315508021;37.4
22;0.1454780361757106;38.7
23;0.14925373134328357;40.2